# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	4807915	665	+							STH12_RS00005	1380		
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	4807915	665	+	WP_126165652.1	WP_126165652.1		sodium:alanine symporter family protein			STH12_RS00005	1380	459	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	854	2209	-							STH12_RS00010	1356		old_locus_tag=STH12_00002
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	854	2209	-	WP_126165653.1	WP_126165653.1		flavohemoglobin expression-modulating QEGLA motif protein			STH12_RS00010	1356	451	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	2338	2520	-							STH12_RS00015	183		old_locus_tag=STH12_00003
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	2338	2520	-	WP_126165654.1	WP_126165654.1		hypothetical protein			STH12_RS00015	183	60	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	2802	4907	+							STH12_RS00020	2106		old_locus_tag=STH12_00004
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	2802	4907	+	WP_237158690.1	WP_237158690.1		CHASE domain-containing protein			STH12_RS00020	2106	701	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	4904	5335	+							STH12_RS00025	432		old_locus_tag=STH12_00005
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	4904	5335	+	WP_126165655.1	WP_126165655.1		response regulator			STH12_RS00025	432	143	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	5346	7076	+							STH12_RS00030	1731		old_locus_tag=STH12_00006
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	5346	7076	+	WP_126165656.1	WP_126165656.1		GGDEF domain-containing response regulator			STH12_RS00030	1731	576	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	7153	8058	+					rimK		STH12_RS00035	906		old_locus_tag=STH12_00007
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	7153	8058	+	WP_126165657.1	WP_126165657.1		30S ribosomal protein S6--L-glutamate ligase	rimK		STH12_RS00035	906	301	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	8102	8791	-							STH12_RS00040	690		old_locus_tag=STH12_00008
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	8102	8791	-	WP_126165658.1	WP_126165658.1		TorF family putative porin			STH12_RS00040	690	229	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	9018	9290	-							STH12_RS00045	273		old_locus_tag=STH12_00009
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	9018	9290	-	WP_126165659.1	WP_126165659.1		HU family DNA-binding protein			STH12_RS00045	273	90	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	9422	10222	-							STH12_RS00050	801		old_locus_tag=STH12_00010
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	9422	10222	-	WP_126165660.1	WP_126165660.1		response regulator			STH12_RS00050	801	266	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	10333	10719	-							STH12_RS00055	387		old_locus_tag=STH12_00011
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	10333	10719	-	WP_126165661.1	WP_126165661.1		hypothetical protein			STH12_RS00055	387	128	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	10842	11351	+							STH12_RS00060	510		old_locus_tag=STH12_00012
CDS	with_protein	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	10842	11351	+	WP_126165662.1	WP_126165662.1		DUF4240 domain-containing protein			STH12_RS00060	510	169	
gene	protein_coding	GCF_003957745.1	Primary Assembly	chromosome		NZ_CP020373.1	11352	11654	-							STH12_RS00065	303		old_locus_tag=STH12_00013
