# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	1	1380	+					dnaA		JYB88_RS00005	1380		old_locus_tag=JYB88_00005
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	1	1380	+	WP_207321446.1	WP_207321446.1		chromosomal replication initiator protein DnaA	dnaA		JYB88_RS00005	1380	459	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	1404	2504	+					dnaN		JYB88_RS00010	1101		old_locus_tag=JYB88_00010
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	1404	2504	+	WP_207321447.1	WP_207321447.1		DNA polymerase III subunit beta	dnaN		JYB88_RS00010	1101	366	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	2550	3632	+					recF		JYB88_RS00015	1083		old_locus_tag=JYB88_00015
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	2550	3632	+	WP_207325071.1	WP_207325071.1		DNA replication/repair protein RecF	recF		JYB88_RS00015	1083	360	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	3649	6066	+					gyrB		JYB88_RS00020	2418		old_locus_tag=JYB88_00020
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	3649	6066	+	WP_207321449.1	WP_207321449.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		JYB88_RS00020	2418	805	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	6303	6518	-							JYB88_RS00025	216		old_locus_tag=JYB88_00025
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	6303	6518	-	WP_207325072.1	WP_207325072.1		hypothetical protein			JYB88_RS00025	216	71	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	7306	9732	+							JYB88_RS00030	2427		old_locus_tag=JYB88_00030
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	7306	9732	+	WP_207325073.1	WP_207325073.1		choice-of-anchor B family protein			JYB88_RS00030	2427	808	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	9783	10496	-					pxpA		JYB88_RS00035	714		old_locus_tag=JYB88_00035
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	9783	10496	-	WP_207321455.1	WP_207321455.1		5-oxoprolinase subunit PxpA	pxpA		JYB88_RS00035	714	237	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	10493	11419	-							JYB88_RS00040	927		old_locus_tag=JYB88_00040
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	10493	11419	-	WP_207325074.1	WP_207325074.1		biotin-dependent carboxyltransferase family protein			JYB88_RS00040	927	308	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	11416	12060	-					pxpB		JYB88_RS00045	645		old_locus_tag=JYB88_00045
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	11416	12060	-	WP_207325075.1	WP_207325075.1		5-oxoprolinase subunit PxpB	pxpB		JYB88_RS00045	645	214	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	12302	13354	+							JYB88_RS00050	1053		old_locus_tag=JYB88_00050
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	12302	13354	+	WP_207325076.1	WP_207325076.1		HDOD domain-containing protein			JYB88_RS00050	1053	350	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	13396	15465	-					glyS		JYB88_RS00055	2070		old_locus_tag=JYB88_00055
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	13396	15465	-	WP_207325077.1	WP_207325077.1		glycine--tRNA ligase subunit beta	glyS		JYB88_RS00055	2070	689	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	15479	16384	-					glyQ		JYB88_RS00060	906		old_locus_tag=JYB88_00060
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	15479	16384	-	WP_207321460.1	WP_207321460.1		glycine--tRNA ligase subunit alpha	glyQ		JYB88_RS00060	906	301	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	16613	19798	-							JYB88_RS00065	3186		old_locus_tag=JYB88_00065
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	16613	19798	-	WP_207325078.1	WP_207325078.1		amidohydrolase family protein			JYB88_RS00065	3186	1061	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	19968	20213	-					tusA		JYB88_RS00070	246		old_locus_tag=JYB88_00070
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	19968	20213	-	WP_207321462.1	WP_207321462.1		sulfurtransferase TusA	tusA		JYB88_RS00070	246	81	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	20308	21453	-							JYB88_RS00075	1146		old_locus_tag=JYB88_00075
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	20308	21453	-	WP_207325079.1	WP_207325079.1		GGDEF domain-containing protein			JYB88_RS00075	1146	381	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	21596	22759	-					fadA		JYB88_RS00080	1164		old_locus_tag=JYB88_00080
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	21596	22759	-	WP_207325080.1	WP_207325080.1		acetyl-CoA C-acyltransferase FadA	fadA		JYB88_RS00080	1164	387	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	22784	24925	-					fadB		JYB88_RS00085	2142		old_locus_tag=JYB88_00085
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	22784	24925	-	WP_207325081.1	WP_207325081.1		fatty acid oxidation complex subunit alpha FadB	fadB		JYB88_RS00085	2142	713	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	25207	26526	+					pepQ		JYB88_RS00090	1320		old_locus_tag=JYB88_00090
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	25207	26526	+	WP_207325082.1	WP_207325082.1		Xaa-Pro dipeptidase	pepQ		JYB88_RS00090	1320	439	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	26529	27149	+							JYB88_RS00095	621		old_locus_tag=JYB88_00095
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	26529	27149	+	WP_207325083.1	WP_207325083.1		YigZ family protein			JYB88_RS00095	621	206	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	27221	28678	+							JYB88_RS00100	1458		old_locus_tag=JYB88_00100
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	27221	28678	+	WP_207325084.1	WP_207325084.1		TrkH family potassium uptake protein			JYB88_RS00100	1458	485	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	28678	29205	+					hemG		JYB88_RS00105	528		old_locus_tag=JYB88_00105
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	28678	29205	+	WP_207325085.1	WP_207325085.1		menaquinone-dependent protoporphyrinogen IX dehydrogenase	hemG		JYB88_RS00105	528	175	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	29287	29592	-							JYB88_RS00110	306		old_locus_tag=JYB88_00110
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	29287	29592	-	WP_207321470.1	WP_207321470.1		winged helix-turn-helix domain-containing protein			JYB88_RS00110	306	101	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	29666	31108	-							JYB88_RS00115	1443		old_locus_tag=JYB88_00115
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	29666	31108	-	WP_207325086.1	WP_207325086.1		TrkH family potassium uptake protein			JYB88_RS00115	1443	480	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	31114	32523	-					trkA		JYB88_RS00120	1410		old_locus_tag=JYB88_00120
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	31114	32523	-	WP_207321472.1	WP_207321472.1		Trk system potassium transporter TrkA	trkA		JYB88_RS00120	1410	469	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	32540	33820	-					rsmB		JYB88_RS00125	1281		old_locus_tag=JYB88_00125
CDS	with_protein	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	32540	33820	-	WP_207325087.1	WP_207325087.1		16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	rsmB		JYB88_RS00125	1281	426	
gene	protein_coding	GCF_017354925.1	Primary Assembly	chromosome		NZ_CP071504.1	33817	34770	-					fmt		JYB88_RS00130	954		old_locus_tag=JYB88_00130
